,XXS,XS,S,M,L,XL
Height,"5' - 5'4""","5'2"" - 5'6""","5'3"" - 5'7""","5'3"" - 5'7""","5'5"" - 5'9""","5'7"" - 5'11"""
Chest,32 - 34,34 - 36,36 - 38,38 - 40,40 - 42,42 - 44
Waist,24 - 28,28 - 32,30 - 34,34 - 36,36 - 38,38- 40
Hips/ Seat,34 - 36,36 - 38,38 - 40,40 - 42.5,42.5 - 45.5,45.5 - 47.5
Total Arm,28.5 - 29.5,28.5 - 29.5,29 - 30,29.5 - 30.5,30.5 - 31.5,31 - 32
Inseam,28,28,30,30,32,34
Body Length,52 - 55,55 - 58,58 - 61,61 - 64,64 - 67,67 - 70
,,,,,,
,,,Arm,Length,,
,,Petite,-1 in,-3 in,,
,,Tall,+1 in,+3 in,,